ItemHash,SkuNumber,SoldFlag,ItemName,Price,WarehouseId,Category,OrderDate,ShipDate,OutDate,Delivery_date,OrderId,Quantity,CustomerId
SI2LHMY18DNC,141062,0,ComputersandAccessories-FNE-918,1740.02,WHQZAC,Computers&Accessories,,,,,,1,
FY1ORV0IQHZZ,922587,0,Clothing-QDA-318,771.32,WH2ELM,Clothing,,,,,,9,
G3DPE26VT98C,210626,0,ComputersandAccessories-DUE-095,1908.68,WHR6KX,Computers&Accessories,,,,,,2,
HOMJP6FJP0VD,731111,0,Sports-HNG-383,948.04,WH1E74,Sports,,,,,,1,
0GLT9TJCGCGE,478476,1,ComputersandAccessories-ZMJ-585,3717.56,WHYR2V,Computers&Accessories,2025-12-19,2025-12-20,2025-12-22,2025-12-31,1000000,5,3352170
Z05C0JDJ02QX,770098,1,Books-ZUU-877,4505.75,WHT9R0,Books,2025-06-04,2025-06-04,2025-06-05,2025-06-12,1000001,5,7898746
OU4GW0XWXGGL,448088,0,HomeGoods-NKK-653,3599.57,WHQ7Q2,HomeGoods,,,,,,1,
QB49M6XWIVAD,791228,1,HomeGoods-UWT-007,47.81,WHPMOZ,HomeGoods,2025-11-25,2025-11-27,2025-11-27,2025-11-27,1000002,9,5795628
GM5UWJ7VB2UN,223567,1,Clothing-KJM-327,4105.6,WHQEDQ,Clothing,2025-07-10,2025-07-13,2025-07-14,2025-07-12,1000003,1,7686098
5VINJ9G7F8FW,784568,0,ComputersandAccessories-OSK-950,1831.44,WHUT93,Computers&Accessories,,,,,,5,
1G6Q56A1XV1M,887589,1,Electronics-DEE-375,2235.65,WHK25L,Electronics,2025-05-21,2025-05-25,2025-05-26,2025-05-22,1000004,5,2951030
0F5Q5WEV20VJ,615889,1,ComputersandAccessories-DOT-002,302.96,WHPOSF,Computers&Accessories,2025-07-26,2025-07-28,2025-07-30,2025-07-28,1000005,10,9875783
AYRYSOEW7YX6,851223,0,Sports-EML-653,766.59,WHX92M,Sports,,,,,,2,
P4MRXYRKPFEV,975467,1,Books-WNU-209,2932.86,WHGN8L,Books,2025-06-02,2025-06-03,2025-06-06,2025-06-03,1000006,7,1076949
WG6TT9LM98GZ,881800,1,Books-OTH-083,519.42,WH8HYZ,Books,2025-04-23,2025-04-25,2025-04-26,2025-05-04,1000007,10,7282472
9D25KBCNW629,892206,0,ComputersandAccessories-XRG-604,4210.49,WHPUTT,Computers&Accessories,,,,,,8,
D3HPKB3M62PB,110051,0,ComputersandAccessories-ZIV-859,1077.05,WHZV52,Computers&Accessories,,,,,,10,
QAJQP0R95M2L,482696,0,HomeGoods-OZV-180,4866.95,WHKL6B,HomeGoods,,,,,,3,
Q13YGXM256B7,331280,1,Electronics-WXD-540,157.36,WH1YIK,Electronics,2025-12-01,2025-12-02,2025-12-02,2025-12-08,1000008,1,6676361
3Q11Z5QWOE7N,968893,1,Books-ATU-832,534.52,WHK12U,Books,2025-07-27,2025-07-31,2025-08-01,2025-07-28,1000009,10,5855123
F3AFF9WXIWSS,208308,0,HomeGoods-UZM-623,592.7,WHEVK5,HomeGoods,,,,,,8,
SASEU6B8FC9Y,259407,1,Electronics-DBG-681,4052.56,WHDXIW,Electronics,2025-11-22,2025-11-25,2025-11-26,2025-11-23,1000010,1,9122611
