ItemHash,SkuNumber,SoldFlag,ItemName,Price,WarehouseId,Category,OrderDate,ShipDate,OutDate,Delivery_date,OrderId,Quantity,CustomerId
5C6PGJJ5Z641,516992,0,Clothing-XFT-157,853.74,WHTH64,Clothing,,,,,,7,
NJOZJHFJTPBN,256292,0,HomeGoods-QKX-648,2742.92,WHN6V5,HomeGoods,,,,,,2,
94MLWNON2WXK,711302,1,Clothing-ZOS-316,1835.09,WHUYD5,Clothing,2025-06-13,2025-06-19,2025-06-19,2025-06-15,1000000,10,2359554
R3WKAOFDLZQK,658250,0,Sports-MJJ-088,4140.88,WHGUVN,Sports,,,,,,8,
PA7U7L5JW6YI,508874,1,Books-OBK-591,4500.47,WH7P8M,Books,2025-09-11,2025-09-12,2025-09-14,2025-09-22,1000001,4,8552144
VRIG74XWIGMO,416514,1,ComputersandAccessories-TFQ-884,1525.15,WHSLI8,Computers&Accessories,2025-08-06,2025-08-08,2025-08-08,2025-08-18,1000002,7,5049702
35QBC339H7XR,598324,1,HomeGoods-KWN-326,3665.22,WH44YB,HomeGoods,2025-07-07,2025-07-11,2025-07-14,2025-07-16,1000003,5,3308528
JZ74BX8HP9JT,377295,0,ComputersandAccessories-BBY-919,2758.88,WH5KEB,Computers&Accessories,,,,,,7,
6DY2SKO00ZG8,556602,0,Books-CSI-022,4827.88,WHJVSR,Books,,,,,,5,
UDQY9DUWJR2O,135182,0,ComputersandAccessories-DRI-026,1512.82,WHB31B,Computers&Accessories,,,,,,5,
A8J86Q9XG2O0,146294,1,HomeGoods-HAN-387,3427.76,WHLW4Q,HomeGoods,2025-08-23,2025-08-25,2025-08-27,2025-08-31,1000004,9,8888727
Z2YYFJMMKNDE,966938,1,ComputersandAccessories-BJD-307,98.63,WHM75V,Computers&Accessories,2025-08-11,2025-08-15,2025-08-15,2025-08-18,1000005,9,5664221
G7TFXMJIA6BM,331006,0,Sports-AVL-522,110.07,WH2CN7,Sports,,,,,,8,
CYSUMRMEP9MJ,718104,0,Books-ZZT-384,4349.22,WHS16P,Books,,,,,,8,
QQQ750BWLP6N,881672,0,Electronics-JSQ-798,2613.34,WHSNS8,Electronics,,,,,,10,
LYDZ0VDX85WT,653753,1,HomeGoods-FEZ-864,4511.7,WHRTVK,HomeGoods,2025-05-25,2025-05-31,2025-06-01,2025-05-28,1000006,1,7027188
ISJV5QZ678M3,853133,1,Clothing-IRP-825,3145.99,WHORT1,Clothing,2026-01-12,2026-01-15,2026-01-15,2026-01-23,1000007,10,8372933
N0NHHU5BE8F4,959452,1,Clothing-LMJ-959,1062.04,WHLZEN,Clothing,2025-05-16,2025-05-23,2025-05-23,2025-05-27,1000008,6,2916315
593YP20H1OMD,870564,0,ComputersandAccessories-EWE-720,719.45,WHRKIS,Computers&Accessories,,,,,,5,
NQWYG6QXMTQJ,762729,0,Books-FRC-619,883.07,WHVB8Y,Books,,,,,,4,
YUCT4UDJDFTX,114085,0,Electronics-BTJ-771,3795.0,WH3SCO,Electronics,,,,,,9,
1JFPB1R4N4NN,177667,1,HomeGoods-VGN-524,463.6,WH3C2S,HomeGoods,2025-04-16,2025-04-18,2025-04-19,2025-04-25,1000009,1,4514396
A48B2U6BEWH2,340005,0,HomeGoods-KCH-750,262.99,WHQIRX,HomeGoods,,,,,,1,
SAXJ6PBD3BMD,660190,1,Clothing-SWD-561,2946.55,WHXBPH,Clothing,2025-03-25,2025-03-28,2025-03-29,2025-04-01,1000010,6,8311719
5IX33Q72NXPZ,560866,1,ComputersandAccessories-JXY-692,1636.32,WHZOIH,Computers&Accessories,2025-09-17,2025-09-24,2025-09-27,2025-10-01,1000011,1,3559605
